T1219,SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,SAMSUNG,31990,47900,33% off,4.4,15280 Ratings†&†1651 Reviews,['Operating System: Tizen' 'Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
T1220,Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,Adsun,6599,18999,65% off,3.9,14297 Ratings†&†2153 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '3 Years Standard Manufacturer Warranty from Adsun']
T1221,Thomson OATHPRO Max 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,Thomson,27999,46999,40% off,4.5,28566 Ratings†&†7417 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
T1222,Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,Thomson,8999,14499,37% off,4.4,88179 Ratings†&†18468 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
T1223,OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,OnePlus,24999,31999,21% off,4.3,137565 Ratings†&†12704 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']
T1224,OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,OnePlus,15999,21999,27% off,4.3,137565 Ratings†&†12704 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']
T1225,Vu GloLED 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,Vu,52999,85000,37% off,4.4,5606 Ratings†&†1061 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty']
T1228,Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,Adsun,7999,29999,73% off,3.9,14297 Ratings†&†2153 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '3 Years Standard Manufacturer Warranty from Adsun']
T1229,iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED TV,iFFALCON,7499,18990,60% off,4.2,1557 Ratings†&†150 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product']
T1230,Blaupunkt 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,Blaupunkt,40999,59999,31% off,4.7,641 Ratings†&†170 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
